product_id,jurisdiction_code,regulation_ref,regulation_name,verified_status,supabase_reg_id,supabase_reg_name,verification_note
1,EU,(EC) No 1223/2009,EU Cosmetics Regulation,FOUND,077a8116-06aa-4e76-9347-782d301ae20f,exact_ref,pre-verified: exact_ref
1,EU,Regulation (EU) 2024/996,EU Cosmetics Regulation — CMR amendments,FOUND,0bc54e67-273b-4e35-beb1-7c4ae2c29170,name_substring,pre-verified: name_substring
1,FR,(EC) No 1223/2009,EU Cosmetics Regulation (applicable en FR),FOUND,077a8116-06aa-4e76-9347-782d301ae20f,exact_ref,pre-verified: exact_ref
1,FR,Code de la Santé Publique L5131-6,Cosmétovigilance ANSM,FOUND,ff4f00b3-0e67-4a8f-bdc7-0231f602acc7,ANSM Cosmetovigilance Requirements,name_substring match
1,DE,(EC) No 1223/2009,EU Cosmetics Regulation (applicable in DE),FOUND,077a8116-06aa-4e76-9347-782d301ae20f,exact_ref,pre-verified: exact_ref
1,DE,KVO (BGBI. I 1977/1997 amendments),Kosmetik-Verordnung (KVO) — German labeling supplement,FOUND,335e7746-8f46-40f2-92c3-07da865aa999,name_substring,pre-verified: name_substring
1,IT,(EC) No 1223/2009,EU Cosmetics Regulation (applicable in IT),FOUND,077a8116-06aa-4e76-9347-782d301ae20f,exact_ref,pre-verified: exact_ref
1,IT,D.Lgs. 204/1992 (as amended),D.Lgs. 204/1992 — Italian Cosmetics Implementation,FOUND,d274c3a6-f0d8-433f-a6bd-06da388a3007,name_substring,pre-verified: name_substring
1,ES,(EC) No 1223/2009,EU Cosmetics Regulation (applicable in ES),FOUND,077a8116-06aa-4e76-9347-782d301ae20f,exact_ref,pre-verified: exact_ref
1,ES,Real Decreto 1599/1997 (modified),RD 1599/1997 — Spanish Cosmetics National Rules,NOT_FOUND,,,"Only RD 85/2018 found, not RD 1599/1997"
1,NL,(EC) No 1223/2009,EU Cosmetics Regulation (applicable in NL),FOUND,077a8116-06aa-4e76-9347-782d301ae20f,exact_ref,pre-verified: exact_ref
1,GB,SI 2019/696 (The Cosmetic Products Enforcement Regulations 2013 as retained),UK Cosmetics Regulation,FOUND,ce316b32-a5ef-4b4c-b0f3-e1a2a879aa54,name_substring,pre-verified: name_substring
1,GB,UK Cosmetics (GB Annexes 2022+),Great Britain Annex amendments post-Brexit,NOT_FOUND,,,No GB annex post-Brexit specific entry
1,CH,SR 817.023.31 (OPC),Ordinance on Cosmetics (OPC) / Kosmetikverordnung,FOUND,46acbdd5-27b4-463c-bb8a-9830ec2b6e5f,name_substring,pre-verified: name_substring
1,CH,SR 813.11,Swiss ChemO — Chemical Substances Ordinance,FOUND,3f0adf29-49d5-4597-b50c-e5234d3f8e8b,name_substring,pre-verified: name_substring
1,NO,FOR-2013-07-08-1268,Norwegian Cosmetics Regulation (EEA adaptation of EC 1223/2009),FOUND,077a8116-06aa-4e76-9347-782d301ae20f,exact_ref,pre-verified: exact_ref
1,NO,Kjemikalieloven (lov 2003-06-11-101),REACH-NO — Norwegian Chemicals Act,FOUND,2569736d-c65a-44ed-9742-3a56326689a5,acronym,pre-verified: acronym
1,RU,TR TS 009/2011,TR TS 009/2011 — Technical Regulation on Perfumery & Cosmetics (EAEU),FOUND,,8edba848-498f-4985-b13e-c0a11560b955,found 2026-05-28 — legal_document: TR TS 009/2011 Perfumery & Cosmetics (source: pravo_ru country RU)
