product_id,jurisdiction_code,regulation_ref,regulation_name,verified_status,supabase_reg_id,supabase_reg_name,verification_note
11,EU,Regulation (EU) 1308/2013 (as amended by 2021/2117),CMO Wine — Common Market Organisation Regulation,FOUND,18c2a61e-8b38-4ec4-9f4a-f10291a69317,Règlement OCM unique,Match on numeric ref 1308/2013
11,EU,Regulation (EU) 2021/2117,Wine PDO/PGI Reform Regulation,FOUND,475eea18-d5ae-400f-b418-d0dc102d7c1c,Regulation (EU) 2021/2117 amending CMO,Match on numeric ref 2021/2117
11,EU,Regulation (EU) 2019/33 + Regulation (EU) 2019/34,Wine Labelling Regulation — PDO/PGI presentation,FOUND,8d52b0c3-a7c5-4fea-af2f-ace27090c8e6,EU CLP Regulation (EC) No 1272/2008,Match on name keyword 'Labelling' + region 'Europe'
11,EU,Regulation (EU) 1169/2011 (FIC) — wine provisions effective Dec 2023,Food Information to Consumers — Ingredients + Nutrition (Wine),FOUND,a56171ed-0310-466b-982a-1009f5c3e202,EU Food Information to Consumers Regulation (EU) No 1169/2011,Match on numeric ref 1169/2011
11,EU,Directive 2011/64/EU (Council Directive on excise alcohol structure),Alcohol Excise Structure Directive,FOUND,30ba00ec-0b45-4e2c-bc22-64432cb1bcc0,EU Regulation on Alcohol Advertising (Various National Laws),Match on name keyword 'Alcohol' + region 'Europe'
11,EU,Decision 1152/2003/EC + implementing regulations,EMCS — Excise Movement and Control System,FOUND,cd17fc22-6ae3-4329-9027-46316a8424fc,Decision No 1152/2003/EC of the European Parliament and of the Council,Match on numeric ref 1152/2003 in legal_documents (EU)
11,EU,Public Health (Alcohol) Act 2018 (Ireland) + SI No. 406 of 2023 (Health labelling commencement),Public Health (Alcohol) Act 2018 Ireland — avertissement sante obligatoire mai 2026,FOUND,d858d97c-8232-4e2a-945c-fabe732e5699,EU Regulation on Marketing of Medicinal Products,Match on name keyword 'Public' + region 'Europe'
11,FR,"Code rural et de la peche maritime, Articles L. 641-1 to L. 641-28 + decrets AOC",Code rural — AOC/AOP viticoles (INAO),FOUND,a572cd22-e24e-466d-8ee0-f0c93939061a,French Food Code (Code Rural et de la Pêche Maritime),Match on name keyword 'rural' + region 'France'
11,FR,Loi n 91-32 du 10 janvier 1991 (Loi Evin) + Decret d'application,Loi Evin — Restrictions publicite alcool,FOUND,73e0ceb2-37bd-4ec7-8c7a-67eb28e83c30,French Loi Évin — Advertising Restrictions,Match on name keyword 'Restrictions' + region 'France'
11,FR,Code des douanes art. 401 et suivants + CGI + decrets CRD,Code des douanes — Droits d'accises (CRD/capsule),FOUND,13ada685-33f1-4b14-acb5-f1781ac7e0b6,Basel III / CRD-CRR Framework,Match on acronym CRD
11,DE,Weingesetz vom 16. Mai 2001 (BGBl. I S. 985) + Weinverordnung (WeinV),Weingesetz + Weinverordnung (German Wine Law),FOUND,b6296426-fea0-4546-9ae7-6c33336d1276,Weingesetz + Weinverordnung (German Wine Law),Match on title 'Weingesetz' in legal_documents (DE)
11,DE,Alkoholsteuergesetz (AlkStG) + historic wine excise exemption,AlkStG — Alkoholsteuergesetz (zero excise vin Allemagne),FOUND,d0ca74a0-639a-4ab7-a6f2-5c77c56f5947,AlkStG — Alkoholsteuergesetz (zero excise vin Allemagne),Match on acronym AlkStG + title exact in legal_documents (DE)
11,IT,"Decreto Legislativo 8 aprile 2010, n. 61 + D.Lgs 238/2016 (Testo Unico del Vino)",Testo Unico della Vite e del Vino,FOUND,013d2ff3-72fb-40c5-b907-5ba5a33d4f66,Italian Audiovisual Media Services Code,Match on name keyword 'Testo' + region 'Italy'
11,IT,D.M. disciplinari individuali per chaque DOC/DOCG + circulaires MIPAAF,Sistema DOC/DOCG/IGT — designations viticoles Italie,FOUND,fd540d79-bbd5-43fd-a18c-4ce5a5fc32fd,FDA Social Media Guidance Documents,Match on acronym DOC
11,ES,"Ley 24/2003, de 10 de julio, de la Vina y del Vino (+ Real Decretos de desarrollo)",Ley de la Vina y del Vino,FOUND,adb04ab3-0001-4a9b-a2f9-5cebefff4877,Ley de la Vina y del Vino,Match on title 'Ley de la Vina y del Vino' exact in legal_documents (ES)
11,ES,Real Decreto 1338/2011 + Ley 38/1992 Impuestos Especiales,DOP/DO/IGP system + Impuesto sobre el alcohol (excise Espagne),FOUND,cb6cbe81-d6a7-4280-a425-7739624c06cb,Directive Green Claims (en cours d'adoption),Match on acronym DOP
11,NL,Wet op de Accijns (Accijnswet) + Drank- en Horecawet (DHW) 2013,Wet op de Accijns + Drank- en Horecawet (Pays-Bas),FOUND,32ac2bf7-32de-4f0d-bf5f-988b9d9b5789,Dutch Fuel Tax (Accijns),Match on name keyword 'Accijns' + region 'Netherlands'
11,GB,The Wine Regulations 2011 (SI 2011/2936) as retained in UK law post-Brexit + UK Alcohol Wholesaler Registration Scheme,Wine Regulations 2011 (post-Brexit retained) + AWRS,FOUND,f727634c-59cc-4ec5-a0fe-fe88e630801a,UK General Product Safety Regulations 2005,Match on name keyword 'Regulations' + region 'United Kingdom'
11,GB,Finance (No.2) Act 2023 — Alcohol Duty provisions (effective 1 August 2023),Alcohol Duty Act 2023 — New UK duty regime,FOUND,9d709d58-a0ed-4db6-8de7-16c04c25827f,Alcohol Advertising Self-Regulatory Codes,Match on name keyword 'Alcohol' + region 'United Kingdom'
11,GB,Alcohol (Minimum Pricing) (Scotland) Act 2012 + SSI 2018/100 + SSI 2024 amendment,Minimum Unit Pricing Scotland 50p/65p per unit,FOUND,e48402ee-2171-4c1e-ba55-eed6c3a4423d,National Minimum Wage Act 1998,Match on name keyword 'Minimum' + region 'United Kingdom'
